RESDATE,QBFDEP,BIDCITY,BIDSTATE,CLOSCD,BSTATUS,PSTALP,COMMENTS,CITYST,COSTMOSTRECENTASOF,RESTYPE,URL,PTRDATE,COST,QBFASSET,UNINSDEP,ID,TERMI,FAILYR,CHCLASS,FUND,BANKNO,BIDNAME,FIN,FAILDATE,SAVR,RESTYPE1,CHCLASS1,NAME,FSL_PROG,CITY,CERT,BRDATE
11/3/2023,52311.0,EMMETSBURG,IA,PASAN,A,IA,,"SAC CITY, IA",29FEB2024,FAILURE,,,14804.0,60448.0,,3457,,2023,NM,5,,IOWA TRUST & SAVINGS BANK,10545,11/3/2023,DIF,PA,NM,CITIZENS BANK,,SAC CITY,8758.0,
7/28/2023,130110.0,SYRACUSE,KS,TABAN,A,KS,,"ELKHART, KS",29FEB2024,FAILURE,,,54167.0,139446.0,,3456,,2023,SM,5,,"DREAM FIRST BANK,NATIONAL ASSOCIATION",10544,7/28/2023,DIF,PA,SM,HEARTLAND TRI-STATE BANK,,ELKHART,25851.0,
5/1/2023,176436706.0,COLUMBUS,OH,TASNN,A,CA,,"SAN FRANCISCO, CA",29FEB2024,FAILURE,,,16657086.0,212638872.0,,3455,,2023,NM,5,,"JPMORGAN CHASE BANK, N.A.",10543,5/1/2023,DIF,PA,NM,FIRST REPUBLIC BANK,,SAN FRANCISCO,59017.0,
3/20/2023,88612911.0,HICKSVILLE,NY,PASNN,A,NY,"LCT not performed.  DRR will provide data when available. Signature Bridge Bank, N.A. (59332)  created with FIN 10541.","NEW YORK, NY",29FEB2024,FAILURE,,,1825021.0,110363650.0,,3454,,2023,NM,5,,"FLAGSTAR BANK, N.A.",10540,3/12/2023,DIF,PA,NM,SIGNATURE BANK,,NEW YORK,57053.0,
3/26/2023,175378000.0,RALEIGH,NC,DTBNA,A,CA,LCT not performed.  DRR will provide data when available.  Silicon Valley Bank to Silicon Valley Bridge Bank (59334)created with FIN 10542.,"SANTA CLARA, CA",29FEB2024,FAILURE,,,21818659.0,209026000.0,,3453,,2023,SM,5,,FIRST-CITIZENS BANK & TRUST COMPANY,10539,3/7/2023,DIF,PA,SM,SILICON VALLEY BANK,,SANTA CLARA,24735.0,
10/23/2020,64941.0,ANDOVER,KS,TASAN,A,KS,,"ALMENA, KS",29FEB2024,FAILURE,https://www.fdic.gov/news/press-releases/2020/pr20119.html,,15965.0,65733.0,,3452,T,2020,NM,5,,EQUITY BANK,10538,10/23/2020,DIF,PA,NM,ALMENA STATE BANK,,ALMENA,15426.0,
10/16/2020,133936.0,EVANSVILLE,IN,TASNN,I,FL,,"FORT WALTON BEACH, FL",29FEB2024,FAILURE,https://www.fdic.gov/news/press-releases/2020/pr20112.html,,7247.0,136566.0,,3451,T,2020,NM,5,,"UNITED FIDELITY BANK, FSB",10537,10/16/2020,DIF,PA,NM,FIRST CITY BANK OF FLORIDA,,FORT WALTON BEACH,16748.0,
4/3/2020,143102.0,FAIRMONT,WV,TASNN,A,WV,,"BARBOURSVILLE, WV",29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2020/pr20046.html,,43807.0,151808.0,,3450,,2020,NM,5,,"MVB BANK, INC",10536,4/3/2020,DIF,PA,NM,THE FIRST STATE BANK,,BARBOURSVILLE,14361.0,
2/14/2020,95159.0,MILFORD,NE,PASAN,A,NE,,"ERICSON, NE",29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2020/pr20011.html,,23992.0,100879.0,,3449,,2020,NM,5,,FARMERS AND MERCHANTS BANK,10535,2/14/2020,DIF,PA,NM,ERICSON STATE BANK,,ERICSON,18265.0,
11/1/2019,111234.0,WASHINGTON,DC,TANNN,A,NJ,,"NEWARK, NJ",29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2019/pr19101.html,,1161.0,120574.0,,3448,,2019,N,5,,INDUSTRIAL BANK,10534,11/1/2019,DIF,PA,N,CITY NATIONAL BANK OF NEW JERSEY,,NEWARK,21111.0,
10/25/2019,25174.0,CATLETTSBURG,KY,TASNN,I,KY,,"LOUISA, KY",29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2019/pr19096.html,,4264.0,28163.0,,3444,T,2019,NM,5,,KENTUCKY FARMERS BANK CORPORATION,10532,10/25/2019,DIF,PA,NM,LOUISA COMMUNITY BANK,,LOUISA,58112.0,
10/25/2019,22885.0,POWELL,OH,TATNN,I,OH,,"MAUMEE, OH",29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2019/pr19097.html,,1571.0,23292.0,,3445,T,2019,SB,5,,BUCKEYE STATE BANK,10533,10/25/2019,DIF,PA,SB,RESOLUTE BANK,,MAUMEE,58317.0,
5/31/2019,31254.0,BOWIE,TX,DPSNN,I,TX,,"COOPER, TX",29FEB2024,FAILURE,https://www.fdic.gov/bank/individual/failed/enloe.html,,18263.0,36738.0,500,3443,T,2019,NM,5,,"LEGEND BANK, NA",10531,5/31/2019,DIF,PI,NM,ENLOE STATE BANK,,COOPER,10716.0,
12/15/2017,143964.0,CHICAGO,IL,DPTNN,A,IL,,"CHICAGO, IL",29FEB2024,FAILURE,https://www.fdic.gov/bank/individual/failed/wafedbank.html,,75753.0,166345.0,,3442,,2017,SB,5,,ROYAL SAVINGS BANK,10530,12/15/2017,DIF,PI,SB,WASHINGTON FEDERAL BANK FOR SAVINGS,,CHICAGO,30570.0,
10/13/2017,27466.0,CONWAY SPRINGS,KS,TASNN,I,KS,,"ARGONIA, KS",29FEB2024,FAILURE,https://www.fdic.gov/bank/individual/failed/fmstatebank.html,,280.0,33012.0,,3441,T,2017,NM,5,,CONWAY BANK,10529,10/13/2017,DIF,PA,NM,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,,ARGONIA,17719.0,
