Date_of_resolution,Quasi-bid_deposits,Postal_code,Cost_recent_date,Resolution_type,URL_link,Quasi-bid_assets,Identification,Year_of_failure,Charter_class,Fund,Financial_institution_number,Date_of_failure,Savings_ratio,Additional_resolution_info,Additional_charter_class_info,Bank_Name,City,Certification,State
2020-10-23,64941.0,KS,29FEB2024,FAILURE,https://www.fdic.gov/news/press-releases/2020/pr20119.html,65733.0,3452,2020,NM,5,10538,2020-10-23,DIF,PA,NM,ALMENA STATE BANK,ALMENA,15426.0,KS
2020-10-16,133936.0,FL,29FEB2024,FAILURE,https://www.fdic.gov/news/press-releases/2020/pr20112.html,136566.0,3451,2020,NM,5,10537,2020-10-16,DIF,PA,NM,FIRST CITY BANK OF FLORIDA,FORT WALTON BEACH,16748.0,FL
2020-04-03,143102.0,WV,29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2020/pr20046.html,151808.0,3450,2020,NM,5,10536,2020-04-03,DIF,PA,NM,THE FIRST STATE BANK,BARBOURSVILLE,14361.0,WV
2020-02-14,95159.0,NE,29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2020/pr20011.html,100879.0,3449,2020,NM,5,10535,2020-02-14,DIF,PA,NM,ERICSON STATE BANK,ERICSON,18265.0,NE
2019-11-01,111234.0,NJ,29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2019/pr19101.html,120574.0,3448,2019,N,5,10534,2019-11-01,DIF,PA,N,CITY NATIONAL BANK OF NEW JERSEY,NEWARK,21111.0,NJ
2019-10-25,25174.0,KY,29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2019/pr19096.html,28163.0,3444,2019,NM,5,10532,2019-10-25,DIF,PA,NM,LOUISA COMMUNITY BANK,LOUISA,58112.0,KY
2019-10-25,22885.0,OH,29FEB2024,FAILURE,https://www.fdic.gov/news/news/press/2019/pr19097.html,23292.0,3445,2019,SB,5,10533,2019-10-25,DIF,PA,SB,RESOLUTE BANK,MAUMEE,58317.0,OH
2019-05-31,31254.0,TX,29FEB2024,FAILURE,https://www.fdic.gov/bank/individual/failed/enloe.html,36738.0,3443,2019,NM,5,10531,2019-05-31,DIF,PI,NM,ENLOE STATE BANK,COOPER,10716.0,TX
2017-12-15,143964.0,IL,29FEB2024,FAILURE,https://www.fdic.gov/bank/individual/failed/wafedbank.html,166345.0,3442,2017,SB,5,10530,2017-12-15,DIF,PI,SB,WASHINGTON FEDERAL BANK FOR SAVINGS,CHICAGO,30570.0,IL
2017-10-13,27466.0,KS,29FEB2024,FAILURE,https://www.fdic.gov/bank/individual/failed/fmstatebank.html,33012.0,3441,2017,NM,5,10529,2017-10-13,DIF,PA,NM,THE FARMERS AND MERCHANTS STATE BANK OF ARGONIA,ARGONIA,17719.0,KS
